task_name,period_ms,cycle_num,scheduled_ns,actual_ns,exec_end_ns
NavCommand,80,0,2792632293075,2792632293678,2792632295366
SurfaceRecon,100,0,2792632283239,2792632283377,2792632298802
DistanceCalc,20,0,2792632335697,2792632335769,2792632335908
NavControl,80,0,2792633195935,2792633196039,2792633198241
DataIMU,0,0,2792634005663,2792634005663,2792634075096
DistanceCalc,20,1,2792652335697,2792652455977,2792652456214
DistanceCalc,20,2,2792672335697,2792672348523,2792672348768
DistanceCalc,20,3,2792692335697,2792692407591,2792692407816
NavCommand,80,1,2792712293075,2792712361755,2792712362517
DistanceCalc,20,4,2792712335697,2792712414406,2792712414631
NavControl,80,1,2792713195935,2792713311748,2792713312480
DistanceCalc,20,5,2792732335697,2792732406233,2792732406326
SurfaceRecon,100,1,2792732283239,2792732425868,2792732431844
DistanceCalc,20,6,2792752335697,2792752426123,2792752426287
DistanceCalc,20,7,2792772335697,2792772511930,2792772512100
NavCommand,80,2,2792792293075,2792792441869,2792792450171
DistanceCalc,20,8,2792792335697,2792792472561,2792792472775
NavControl,80,2,2792793195935,2792793344449,2792793346173
DistanceCalc,20,9,2792812335697,2792812472961,2792812473189
SurfaceRecon,100,2,2792832283239,2792832312807,2792832335677
DistanceCalc,20,10,2792832335697,2792832504994,2792832505489
DataIMU,0,1,2792832403078,2792832403078,2792832632460
DistanceCalc,20,11,2792852335697,2792852495159,2792852495330
NavCommand,80,3,2792872293075,2792872334447,2792872336623
DistanceCalc,20,12,2792872335697,2792872497781,2792872498197
NavControl,80,3,2792873195935,2792873327644,2792873329132
DistanceCalc,20,13,2792892335697,2792892493576,2792892493746
DistanceCalc,20,14,2792912335697,2792912492266,2792912492615
SurfaceRecon,100,3,2792932283239,2792932526232,2792932552503
DistanceCalc,20,15,2792932335697,2792932552378,2792932553177
DataIMU,0,2,2792932639143,2792932639143,2792932901507
NavCommand,80,4,2792952293075,2792952409197,2792952411261
DistanceCalc,20,16,2792952335697,2792952478211,2792952478473
NavControl,80,4,2792953195935,2792953354633,2792953355786
DistanceCalc,20,17,2792972335697,2792972484783,2792972485099
DistanceCalc,20,18,2792992335697,2792992549298,2792992549604
DistanceCalc,20,19,2793012335697,2793012378294,2793012378846
NavCommand,80,5,2793032293075,2793032336405,2793032339286
SurfaceRecon,100,4,2793032283239,2793032336026,2793032355375
DistanceCalc,20,20,2793032335697,2793032497257,2793032497742
DataIMU,0,3,2793032451218,2793032451218,2793032677482
NavControl,80,5,2793033195935,2793033354750,2793033356884
DistanceCalc,20,21,2793052335697,2793052485696,2793052485970
DistanceCalc,20,22,2793072335697,2793072510246,2793072510733
DistanceCalc,20,23,2793092335697,2793092357907,2793092358195
DistanceCalc,20,24,2793112335697,2793112348643,2793112348787
NavCommand,80,6,2793112293075,2793112425196,2793112426042
NavControl,80,6,2793113195935,2793113333334,2793113337235
SurfaceRecon,100,5,2793132283239,2793132300297,2793132307529
DataIMU,0,4,2793132357055,2793132357055,2793132474413
DistanceCalc,20,25,2793132335697,2793132491421,2793132491610
DistanceCalc,20,26,2793152335697,2793152351436,2793152351621
DistanceCalc,20,27,2793172335697,2793172359169,2793172359429
NavCommand,80,7,2793192293075,2793192432176,2793192435668
DistanceCalc,20,28,2793192335697,2793192505016,2793192505515
NavControl,80,7,2793193195935,2793193366783,2793193370334
DistanceCalc,20,29,2793212335697,2793212452944,2793212453184
SurfaceRecon,100,6,2793232283239,2793232312207,2793232335213
DistanceCalc,20,30,2793232335697,2793232501738,2793232502360
DataIMU,0,5,2793232395738,2793232395738,2793232593388
DistanceCalc,20,31,2793252335697,2793252489199,2793252489867
NavCommand,80,8,2793272293075,2793272412295,2793272413849
DistanceCalc,20,32,2793272335697,2793272428390,2793272428792
NavControl,80,8,2793273195935,2793273344641,2793273346015
DistanceCalc,20,33,2793292335697,2793292411826,2793292412037
DistanceCalc,20,34,2793312335697,2793312486956,2793312487299
SurfaceRecon,100,7,2793332283239,2793332321646,2793332340869
DistanceCalc,20,35,2793332335697,2793332373313,2793332374042
DataIMU,0,6,2793332424788,2793332424788,2793332649857
DistanceCalc,20,36,2793352335697,2793352415868,2793352416153
NavCommand,80,9,2793352293075,2793352421972,2793352423724
NavControl,80,9,2793353195935,2793353417434,2793353418793
DistanceCalc,20,37,2793372335697,2793372411006,2793372411377
DistanceCalc,20,38,2793392335697,2793392518600,2793392519042
DistanceCalc,20,39,2793412335697,2793412510933,2793412511450
SurfaceRecon,100,8,2793432283239,2793432324414,2793432341912
NavCommand,80,10,2793432293075,2793432445853,2793432449283
DistanceCalc,20,40,2793432335697,2793432517861,2793432518671
DataIMU,0,7,2793432421931,2793432421931,2793432668775
NavControl,80,10,2793433195935,2793433349958,2793433352245
DistanceCalc,20,41,2793452335697,2793452360361,2793452360801
DistanceCalc,20,42,2793472335697,2793472442217,2793472442744
DistanceCalc,20,43,2793492335697,2793492494233,2793492494631
NavCommand,80,11,2793512293075,2793512434342,2793512437484
DistanceCalc,20,44,2793512335697,2793512505311,2793512505809
NavControl,80,11,2793513195935,2793513428415,2793513432042
DistanceCalc,20,45,2793532335697,2793532407067,2793532407341
SurfaceRecon,100,9,2793532283239,2793532426069,2793532437415
DataIMU,0,8,2793532498501,2793532498501,2793532633125
DistanceCalc,20,46,2793552335697,2793552496097,2793552496396
DistanceCalc,20,47,2793572335697,2793572496923,2793572497490
NavCommand,80,12,2793592293075,2793592509439,2793592513561
DistanceCalc,20,48,2793592335697,2793592512325,2793592513041
NavControl,80,12,2793593195935,2793593341553,2793593343787
DistanceCalc,20,49,2793612335697,2793612487000,2793612487303
SurfaceRecon,100,10,2793632283239,2793632305000,2793632329744
DistanceCalc,20,50,2793632335697,2793632493389,2793632493925
DataIMU,0,9,2793632386966,2793632386966,2793632557048
DistanceCalc,20,51,2793652335697,2793652362007,2793652362304
NavCommand,80,13,2793672293075,2793672423638,2793672426380
DistanceCalc,20,52,2793672335697,2793672497272,2793672497663
NavControl,80,13,2793673195935,2793673326436,2793673328862
DistanceCalc,20,53,2793692335697,2793692489757,2793692489920
DistanceCalc,20,54,2793712335697,2793712541358,2793712541602
SurfaceRecon,100,11,2793732283239,2793732319390,2793732338715
DistanceCalc,20,55,2793732335697,2793732519831,2793732520576
DataIMU,0,10,2793732404101,2793732404101,2793732632688
DistanceCalc,20,56,2793752335697,2793752362466,2793752362787
NavCommand,80,14,2793752293075,2793752410194,2793752412167
NavControl,80,14,2793753195935,2793753417870,2793753419190
DistanceCalc,20,57,2793772335697,2793772503260,2793772503556
DistanceCalc,20,58,2793792335697,2793792499166,2793792499506
DistanceCalc,20,59,2793812335697,2793812495735,2793812496091
DistanceCalc,20,60,2793832335697,2793832551276,2793832552454
SurfaceRecon,100,12,2793832283239,2793832551539,2793832571959
NavCommand,80,15,2793832293075,2793832549977,2793832553776
DataIMU,0,11,2793832651908,2793832651908,2793832916712
NavControl,80,15,2793833195935,2793833358133,2793833360292
DistanceCalc,20,61,2793852335697,2793852357483,2793852357637
DistanceCalc,20,62,2793872335697,2793872489696,2793872490058
DistanceCalc,20,63,2793892335697,2793892505185,2793892505651
NavCommand,80,16,2793912293075,2793912488374,2793912491540
DistanceCalc,20,64,2793912335697,2793912528602,2793912529134
NavControl,80,16,2793913195935,2793913372263,2793913374727
SurfaceRecon,100,13,2793932283239,2793932444940,2793932454442
DistanceCalc,20,65,2793932335697,2793932498148,2793932498364
DataIMU,0,12,2793932526542,2793932526542,2793932652366
DistanceCalc,20,66,2793952335697,2793952351260,2793952351431
DistanceCalc,20,67,2793972335697,2793972505376,2793972505598
NavCommand,80,17,2793992293075,2793992436253,2793992439325
DistanceCalc,20,68,2793992335697,2793992495308,2793992495695
NavControl,80,17,2793993195935,2793993351010,2793993353234
DistanceCalc,20,69,2794012335697,2794012507526,2794012507826
DistanceCalc,20,70,2794032335697,2794032430929,2794032431398
SurfaceRecon,100,14,2794032283239,2794032444851,2794032465325
DataIMU,0,13,2794032546885,2794032546885,2794032793050
DistanceCalc,20,71,2794052335697,2794052354646,2794052354828
NavCommand,80,18,2794072293075,2794072342242,2794072344784
DistanceCalc,20,72,2794072335697,2794072487794,2794072488218
NavControl,80,18,2794073195935,2794073432286,2794073436627
DistanceCalc,20,73,2794092335697,2794092486474,2794092486641
DistanceCalc,20,74,2794112335697,2794112358538,2794112358910
SurfaceRecon,100,15,2794132283239,2794132314191,2794132326934
DistanceCalc,20,75,2794132335697,2794132487686,2794132488113
DataIMU,0,14,2794132386789,2794132386789,2794132544379
NavCommand,80,19,2794152293075,2794152423028,2794152424705
DistanceCalc,20,76,2794152335697,2794152485990,2794152486262
NavControl,80,19,2794153195935,2794153369480,2794153370707
DistanceCalc,20,77,2794172335697,2794172500115,2794172500406
DistanceCalc,20,78,2794192335697,2794192562492,2794192562929
DistanceCalc,20,79,2794212335697,2794212538549,2794212538988
NavCommand,80,20,2794232293075,2794232443760,2794232446651
DistanceCalc,20,80,2794232335697,2794232510096,2794232510848
SurfaceRecon,100,16,2794232283239,2794232460492,2794232763054
DataIMU,0,15,2794232846450,2794232846450,2794233074809
NavControl,80,20,2794233195935,2794233352050,2794233354331
DistanceCalc,20,81,2794252335697,2794252432664,2794252432960
DistanceCalc,20,82,2794272335697,2794272492038,2794272492405
DistanceCalc,20,83,2794292335697,2794292538212,2794292538492
NavCommand,80,21,2794312293075,2794312488332,2794312491580
DistanceCalc,20,84,2794312335697,2794312522436,2794312523029
NavControl,80,21,2794313195935,2794313452287,2794313454917
SurfaceRecon,100,17,2794332283239,2794332434508,2794332445126
DistanceCalc,20,85,2794332335697,2794332478856,2794332479241
DataIMU,0,16,2794332509590,2794332509590,2794332634159
DistanceCalc,20,86,2794352335697,2794352359610,2794352359987
DistanceCalc,20,87,2794372335697,2794372372194,2794372372768
NavCommand,80,22,2794392293075,2794392510044,2794392513927
DistanceCalc,20,88,2794392335697,2794392533039,2794392533589
NavControl,80,22,2794393195935,2794393430740,2794393433059
DistanceCalc,20,89,2794412335697,2794412360285,2794412360553
SurfaceRecon,100,18,2794432283239,2794432518319,2794432549071
DistanceCalc,20,90,2794432335697,2794432547795,2794432548575
DataIMU,0,17,2794432640556,2794432640556,2794432912222
DistanceCalc,20,91,2794452335697,2794452486075,2794452486264
NavCommand,80,23,2794472293075,2794472422472,2794472425133
DistanceCalc,20,92,2794472335697,2794472497083,2794472497439
NavControl,80,23,2794473195935,2794473318587,2794473320509
DistanceCalc,20,93,2794492335697,2794492352704,2794492352851
DistanceCalc,20,94,2794512335697,2794512623727,2794512624273
SurfaceRecon,100,19,2794532283239,2794532340820,2794532367924
DistanceCalc,20,95,2794532335697,2794532385046,2794532385846
DataIMU,0,18,2794532454599,2794532454599,2794532703028
DistanceCalc,20,96,2794552335697,2794552372029,2794552372418
NavCommand,80,24,2794552293075,2794552426878,2794552428815
NavControl,80,24,2794553195935,2794553313629,2794553315241
DistanceCalc,20,97,2794572335697,2794572501016,2794572501295
DistanceCalc,20,98,2794592335697,2794592558119,2794592558425
DistanceCalc,20,99,2794612335697,2794612494003,2794612494602
SurfaceRecon,100,20,2794632283239,2794632310691,2794632321587
NavCommand,80,25,2794632293075,2794632323992,2794632325485
DistanceCalc,20,100,2794632335697,2794632422570,2794632422930
DataIMU,0,19,2794632373234,2794632373234,2794632504438
NavControl,80,25,2794633195935,2794633216425,2794633217363
DistanceCalc,20,101,2794652335697,2794652351571,2794652351819
DistanceCalc,20,102,2794672335697,2794672355462,2794672355712
DistanceCalc,20,103,2794692335697,2794692351833,2794692352098
NavCommand,80,26,2794712293075,2794712306531,2794712308248
DistanceCalc,20,104,2794712335697,2794712349272,2794712349539
NavControl,80,26,2794713195935,2794713205581,2794713206096
SurfaceRecon,100,21,2794732283239,2794732296679,2794732302950
DistanceCalc,20,105,2794732335697,2794732345527,2794732345667
DataIMU,0,20,2794732310139,2794732310139,2794732390107
DistanceCalc,20,106,2794752335697,2794752345750,2794752345834
DistanceCalc,20,107,2794772335697,2794772350372,2794772350505
NavCommand,80,27,2794792293075,2794792302844,2794792303560
DistanceCalc,20,108,2794792335697,2794792346331,2794792346598
NavControl,80,27,2794793195935,2794793238940,2794793241741
DistanceCalc,20,109,2794812335697,2794812348879,2794812349049
SurfaceRecon,100,22,2794832283239,2794832295347,2794832301206
DistanceCalc,20,110,2794832335697,2794832348073,2794832348194
DataIMU,0,21,2794832308005,2794832308005,2794832377021
DistanceCalc,20,111,2794852335697,2794852347196,2794852347358
NavCommand,80,28,2794872293075,2794872301184,2794872302145
DistanceCalc,20,112,2794872335697,2794872346331,2794872346555
NavControl,80,28,2794873195935,2794873203694,2794873204202
DistanceCalc,20,113,2794892335697,2794892350380,2794892350537
DistanceCalc,20,114,2794912335697,2794912349109,2794912349286
SurfaceRecon,100,23,2794932283239,2794932295998,2794932303413
DistanceCalc,20,115,2794932335697,2794932349258,2794932349501
DataIMU,0,22,2794932310297,2794932310297,2794932399899
NavCommand,80,29,2794952293075,2794952299735,2794952300503
DistanceCalc,20,116,2794952335697,2794952348201,2794952348448
NavControl,80,29,2794953195935,2794953235632,2794953239054
DistanceCalc,20,117,2794972335697,2794972348201,2794972348368
DistanceCalc,20,118,2794992335697,2794992347207,2794992347378
DistanceCalc,20,119,2795012335697,2795012494959,2795012495127
NavCommand,80,30,2795032293075,2795032302260,2795032303405
SurfaceRecon,100,24,2795032283239,2795032296939,2795032303527
DistanceCalc,20,120,2795032335697,2795032347019,2795032347259
DataIMU,0,23,2795032311506,2795032311506,2795032386553
NavControl,80,30,2795033195935,2795033203947,2795033204396
DistanceCalc,20,121,2795052335697,2795052347341,2795052347508
DistanceCalc,20,122,2795072335697,2795072346569,2795072346749
DistanceCalc,20,123,2795092335697,2795092347300,2795092347492
NavCommand,80,31,2795112293075,2795112303131,2795112303862
DistanceCalc,20,124,2795112335697,2795112344302,2795112344509
NavControl,80,31,2795113195935,2795113203126,2795113203488
SurfaceRecon,100,25,2795132283239,2795132293166,2795132298345
DistanceCalc,20,125,2795132335697,2795132344173,2795132344336
DataIMU,0,24,2795132304329,2795132304329,2795132373840
DistanceCalc,20,126,2795152335697,2795152344728,2795152344820
DistanceCalc,20,127,2795172335697,2795172346883,2795172347033
NavCommand,80,32,2795192293075,2795192308133,2795192309137
DistanceCalc,20,128,2795192335697,2795192346033,2795192346212
NavControl,80,32,2795193195935,2795193227246,2795193229980
DistanceCalc,20,129,2795212335697,2795212484656,2795212484772
SurfaceRecon,100,26,2795232283239,2795232294600,2795232300637
DataIMU,0,25,2795232340732,2795232340732,2795232407260
DistanceCalc,20,130,2795232335697,2795232487735,2795232488401
DistanceCalc,20,131,2795252335697,2795252346503,2795252346669
NavCommand,80,33,2795272293075,2795272305178,2795272306260
DistanceCalc,20,132,2795272335697,2795272433869,2795272434041
NavControl,80,33,2795273195935,2795273319755,2795273320277
DistanceCalc,20,133,2795292335697,2795292377064,2795292377735
DistanceCalc,20,134,2795312335697,2795312349339,2795312349497
SurfaceRecon,100,27,2795332283239,2795332295744,2795332301566
DistanceCalc,20,135,2795332335697,2795332345829,2795332345963
DataIMU,0,26,2795332312508,2795332312508,2795332380800
NavCommand,80,34,2795352293075,2795352308872,2795352309497
DistanceCalc,20,136,2795352335697,2795352345264,2795352345489
NavControl,80,34,2795353195935,2795353207418,2795353208007
DistanceCalc,20,137,2795372335697,2795372347095,2795372347278
DistanceCalc,20,138,2795392335697,2795392346608,2795392346772
DistanceCalc,20,139,2795412335697,2795412346264,2795412346432
NavCommand,80,35,2795432293075,2795432299803,2795432300301
SurfaceRecon,100,28,2795432283239,2795432295581,2795432301138
DistanceCalc,20,140,2795432335697,2795432343849,2795432344054
DataIMU,0,27,2795432352685,2795432352685,2795432421650
NavControl,80,35,2795433195935,2795433332907,2795433333351
DistanceCalc,20,141,2795452335697,2795452345895,2795452346016
DistanceCalc,20,142,2795472335697,2795472346610,2795472346764
DistanceCalc,20,143,2795492335697,2795492408285,2795492408443
NavCommand,80,36,2795512293075,2795512305921,2795512306658
DistanceCalc,20,144,2795512335697,2795512401552,2795512401711
NavControl,80,36,2795513195935,2795513307745,2795513308222
SurfaceRecon,100,29,2795532283239,2795532292624,2795532298028
DataIMU,0,28,2795532330049,2795532330049,2795532396503
DistanceCalc,20,145,2795532335697,2795532449362,2795532449472
DistanceCalc,20,146,2795552335697,2795552475331,2795552475431
DistanceCalc,20,147,2795572335697,2795572474860,2795572475003
NavCommand,80,37,2795592293075,2795592304879,2795592305636
DistanceCalc,20,148,2795592335697,2795592345933,2795592346030
NavControl,80,37,2795593195935,2795593306934,2795593307804
DistanceCalc,20,149,2795612335697,2795612406769,2795612406869
SurfaceRecon,100,30,2795632283239,2795632294656,2795632299783
DataIMU,0,29,2795632341122,2795632341122,2795632405556
DistanceCalc,20,150,2795632335697,2795632446140,2795632446272
DistanceCalc,20,151,2795652335697,2795652346538,2795652346709
NavCommand,80,38,2795672293075,2795672302577,2795672303289
DistanceCalc,20,152,2795672335697,2795672346320,2795672346512
NavControl,80,38,2795673195935,2795673313839,2795673314533
DistanceCalc,20,153,2795692335697,2795692381065,2795692381274
DistanceCalc,20,154,2795712335697,2795712381488,2795712381579
SurfaceRecon,100,31,2795732283239,2795732296507,2795732302574
DistanceCalc,20,155,2795732335697,2795732408758,2795732408938
DataIMU,0,30,2795732343841,2795732343841,2795732412438
NavCommand,80,39,2795752293075,2795752307436,2795752308423
DistanceCalc,20,156,2795752335697,2795752392169,2795752392348
NavControl,80,39,2795753195935,2795753316859,2795753317411
DistanceCalc,20,157,2795772335697,2795772347172,2795772347338
DistanceCalc,20,158,2795792335697,2795792422410,2795792422582
DistanceCalc,20,159,2795812335697,2795812486849,2795812487448
NavCommand,80,40,2795832293075,2795832300634,2795832301146
SurfaceRecon,100,32,2795832283239,2795832295649,2795832303266
DataIMU,0,31,2795832313299,2795832313299,2795832380761
DistanceCalc,20,160,2795832335697,2795832433691,2795832433817
NavControl,80,40,2795833195935,2795833315173,2795833315523
DistanceCalc,20,161,2795852335697,2795852347530,2795852347689
DistanceCalc,20,162,2795872335697,2795872348088,2795872348250
DistanceCalc,20,163,2795892335697,2795892487329,2795892487528
NavCommand,80,41,2795912293075,2795912402119,2795912402947
DistanceCalc,20,164,2795912335697,2795912471717,2795912471892
NavControl,80,41,2795913195935,2795913308034,2795913308614
SurfaceRecon,100,33,2795932283239,2795932293570,2795932299696
DistanceCalc,20,165,2795932335697,2795932345962,2795932346134
DataIMU,0,32,2795932336296,2795932336296,2795932405709
DistanceCalc,20,166,2795952335697,2795952347817,2795952347984
DistanceCalc,20,167,2795972335697,2795972403351,2795972403516
NavCommand,80,42,2795992293075,2795992302447,2795992303311
DistanceCalc,20,168,2795992335697,2795992346255,2795992346436
NavControl,80,42,2795993195935,2795993239822,2795993242514
DistanceCalc,20,169,2796012335697,2796012347497,2796012347656
SurfaceRecon,100,34,2796032283239,2796032295851,2796032302845
DistanceCalc,20,170,2796032335697,2796032346406,2796032346628
DataIMU,0,33,2796032309375,2796032309375,2796032380782
DistanceCalc,20,171,2796052335697,2796052346670,2796052346849
NavCommand,80,43,2796072293075,2796072303436,2796072304254
DistanceCalc,20,172,2796072335697,2796072344835,2796072345057
NavControl,80,43,2796073195935,2796073203531,2796073203935
DistanceCalc,20,173,2796092335697,2796092346379,2796092346548
DistanceCalc,20,174,2796112335697,2796112345859,2796112346015
SurfaceRecon,100,35,2796132283239,2796132293562,2796132298532
DistanceCalc,20,175,2796132335697,2796132346715,2796132346904
DataIMU,0,34,2796132304738,2796132304738,2796132368804
NavCommand,80,44,2796152293075,2796152303582,2796152304541
DistanceCalc,20,176,2796152335697,2796152345840,2796152346145
NavControl,80,44,2796153195935,2796153229659,2796153232180
DistanceCalc,20,177,2796172335697,2796172348515,2796172348693
DistanceCalc,20,178,2796192335697,2796192348257,2796192348813
DistanceCalc,20,179,2796212335697,2796212350793,2796212350969
SurfaceRecon,100,36,2796232283239,2796232295152,2796232300227
NavCommand,80,45,2796232293075,2796232303267,2796232304132
DataIMU,0,35,2796232338906,2796232338906,2796232432509
DistanceCalc,20,180,2796232335697,2796232513790,2796232513946
NavControl,80,45,2796233195935,2796233318205,2796233318672
DistanceCalc,20,181,2796252335697,2796252346406,2796252346562
DistanceCalc,20,182,2796272335697,2796272447428,2796272447589
DistanceCalc,20,183,2796292335697,2796292347370,2796292347551
NavCommand,80,46,2796312293075,2796312302348,2796312303056
DistanceCalc,20,184,2796312335697,2796312345810,2796312345966
NavControl,80,46,2796313195935,2796313233622,2796313236372
SurfaceRecon,100,37,2796332283239,2796332297862,2796332304012
DistanceCalc,20,185,2796332335697,2796332344689,2796332344884
DataIMU,0,36,2796332364903,2796332364903,2796332433999
DistanceCalc,20,186,2796352335697,2796352347329,2796352347487
DistanceCalc,20,187,2796372335697,2796372346845,2796372346997
NavCommand,80,47,2796392293075,2796392301240,2796392301886
DistanceCalc,20,188,2796392335697,2796392372068,2796392372673
NavControl,80,47,2796393195935,2796393309938,2796393310585
DistanceCalc,20,189,2796412335697,2796412352092,2796412352352
SurfaceRecon,100,38,2796432283239,2796432293806,2796432298807
DataIMU,0,37,2796432336931,2796432336931,2796432403679
DistanceCalc,20,190,2796432335697,2796432489985,2796432490104
DistanceCalc,20,191,2796452335697,2796452374482,2796452375092
NavCommand,80,48,2796472293075,2796472307647,2796472308819
DistanceCalc,20,192,2796472335697,2796472369567,2796472370229
NavControl,80,48,2796473195935,2796473319939,2796473320558
DistanceCalc,20,193,2796492335697,2796492349787,2796492350027
DistanceCalc,20,194,2796512335697,2796512354750,2796512355360
SurfaceRecon,100,39,2796532283239,2796532294281,2796532299485
DistanceCalc,20,195,2796532335697,2796532348461,2796532348629
DataIMU,0,38,2796532357221,2796532357221,2796532425236
NavCommand,80,49,2796552293075,2796552300959,2796552301806
DistanceCalc,20,196,2796552335697,2796552344660,2796552344836
NavControl,80,49,2796553195935,2796553315094,2796553315878
DistanceCalc,20,197,2796572335697,2796572346253,2796572346398
DistanceCalc,20,198,2796592335697,2796592346808,2796592347042
DistanceCalc,20,199,2796612335697,2796612348368,2796612348525
SurfaceRecon,100,40,2796632283239,2796632294454,2796632299934
NavCommand,80,50,2796632293075,2796632299678,2796632300238
DistanceCalc,20,200,2796632335697,2796632344312,2796632344482
DataIMU,0,39,2796632338167,2796632338167,2796632415305
NavControl,80,50,2796633195935,2796633206200,2796633206658
DistanceCalc,20,201,2796652335697,2796652345438,2796652345592
DistanceCalc,20,202,2796672335697,2796672347022,2796672347193
DistanceCalc,20,203,2796692335697,2796692343794,2796692343900
NavCommand,80,51,2796712293075,2796712301332,2796712302258
DistanceCalc,20,204,2796712335697,2796712345463,2796712345627
NavControl,80,51,2796713195935,2796713225922,2796713227985
SurfaceRecon,100,41,2796732283239,2796732293239,2796732297713
DistanceCalc,20,205,2796732335697,2796732345707,2796732345840
DataIMU,0,40,2796732353214,2796732353214,2796732422417
DistanceCalc,20,206,2796752335697,2796752347446,2796752347613
DistanceCalc,20,207,2796772335697,2796772351508,2796772351675
NavCommand,80,52,2796792293075,2796792301819,2796792302643
DistanceCalc,20,208,2796792335697,2796792346463,2796792346640
NavControl,80,52,2796793195935,2796793223036,2796793224927
DistanceCalc,20,209,2796812335697,2796812347671,2796812347835
SurfaceRecon,100,42,2796832283239,2796832295510,2796832300559
DistanceCalc,20,210,2796832335697,2796832347316,2796832347437
DataIMU,0,41,2796832307801,2796832307801,2796832388971
DistanceCalc,20,211,2796852335697,2796852347671,2796852347975
NavCommand,80,53,2796872293075,2796872307446,2796872308729
DistanceCalc,20,212,2796872335697,2796872346099,2796872346335
NavControl,80,53,2796873195935,2796873206977,2796873207436
DistanceCalc,20,213,2796892335697,2796892348164,2796892348335
DistanceCalc,20,214,2796912335697,2796912346208,2796912346353
SurfaceRecon,100,43,2796932283239,2796932294363,2796932300126
DistanceCalc,20,215,2796932335697,2796932345383,2796932345504
DataIMU,0,42,2796932344260,2796932344260,2796932421225
NavCommand,80,54,2796952293075,2796952301359,2796952302083
DistanceCalc,20,216,2796952335697,2796952345380,2796952345542
NavControl,80,54,2796953195935,2796953228651,2796953231322
DistanceCalc,20,217,2796972335697,2796972347197,2796972347354
DistanceCalc,20,218,2796992335697,2796992347360,2796992347529
DistanceCalc,20,219,2797012335697,2797012348055,2797012348219
NavCommand,80,55,2797032293075,2797032299263,2797032299769
SurfaceRecon,100,44,2797032283239,2797032294515,2797032300271
DistanceCalc,20,220,2797032335697,2797032344688,2797032344847
DataIMU,0,43,2797032343915,2797032343915,2797032411442
NavControl,80,55,2797033195935,2797033224375,2797033226223
DistanceCalc,20,221,2797052335697,2797052347781,2797052348028
DistanceCalc,20,222,2797072335697,2797072346731,2797072347026
DistanceCalc,20,223,2797092335697,2797092350144,2797092350312
NavCommand,80,56,2797112293075,2797112300591,2797112301488
DistanceCalc,20,224,2797112335697,2797112350747,2797112351361
NavControl,80,56,2797113195935,2797113221478,2797113223290
SurfaceRecon,100,45,2797132283239,2797132294077,2797132298466
DistanceCalc,20,225,2797132335697,2797132348882,2797132349043
DataIMU,0,44,2797132338168,2797132338168,2797132409287
DistanceCalc,20,226,2797152335697,2797152347138,2797152347302
DistanceCalc,20,227,2797172335697,2797172347789,2797172347953
NavCommand,80,57,2797192293075,2797192302212,2797192303167
DistanceCalc,20,228,2797192335697,2797192347707,2797192347880
NavControl,80,57,2797193195935,2797193203076,2797193203255
DistanceCalc,20,229,2797212335697,2797212346144,2797212346320
SurfaceRecon,100,46,2797232283239,2797232294372,2797232307518
DataIMU,0,45,2797232375722,2797232375722,2797232456387
DistanceCalc,20,230,2797232335697,2797232471182,2797232471346
DistanceCalc,20,231,2797252335697,2797252347832,2797252347974
NavCommand,80,58,2797272293075,2797272302763,2797272303628
DistanceCalc,20,232,2797272335697,2797272346385,2797272346662
NavControl,80,58,2797273195935,2797273207861,2797273208594
DistanceCalc,20,233,2797292335697,2797292349954,2797292350161
DistanceCalc,20,234,2797312335697,2797312352033,2797312352266
SurfaceRecon,100,47,2797332283239,2797332296280,2797332301797
DistanceCalc,20,235,2797332335697,2797332346690,2797332346816
DataIMU,0,46,2797332309002,2797332309002,2797332390422
NavCommand,80,59,2797352293075,2797352300980,2797352301679
DistanceCalc,20,236,2797352335697,2797352347800,2797352347992
NavControl,80,59,2797353195935,2797353205393,2797353205898
DistanceCalc,20,237,2797372335697,2797372347327,2797372347489
DistanceCalc,20,238,2797392335697,2797392346451,2797392346634
DistanceCalc,20,239,2797412335697,2797412346225,2797412346288
NavCommand,80,60,2797432293075,2797432300745,2797432301240
SurfaceRecon,100,48,2797432283239,2797432295931,2797432302341
DataIMU,0,47,2797432342634,2797432342634,2797432410415
DistanceCalc,20,240,2797432335697,2797432441945,2797432442067
NavControl,80,60,2797433195935,2797433238110,2797433238408
DistanceCalc,20,241,2797452335697,2797452347464,2797452347620
DistanceCalc,20,242,2797472335697,2797472347534,2797472347702
DistanceCalc,20,243,2797492335697,2797492348984,2797492349182
NavCommand,80,61,2797512293075,2797512300725,2797512301570
DistanceCalc,20,244,2797512335697,2797512414633,2797512414800
NavControl,80,61,2797513195935,2797513243212,2797513243832
SurfaceRecon,100,49,2797532283239,2797532357701,2797532364189
DistanceCalc,20,245,2797532335697,2797532417800,2797532417964
DataIMU,0,48,2797532423761,2797532423761,2797532494609
DistanceCalc,20,246,2797552335697,2797552414925,2797552415109
DistanceCalc,20,247,2797572335697,2797572414572,2797572414734
NavCommand,80,62,2797592293075,2797592299870,2797592300680
DistanceCalc,20,248,2797592335697,2797592407972,2797592408155
NavControl,80,62,2797593195935,2797593309428,2797593310233
DistanceCalc,20,249,2797612335697,2797612411929,2797612412133
SurfaceRecon,100,50,2797632283239,2797632295090,2797632300836
DistanceCalc,20,250,2797632335697,2797632346722,2797632346899
